"function_length","frequency","overhead_mean","overhead_median","sd","se"
1,5,21.058,21,3.77927491973248,0.119511166503047
2,6,48.525,23,560.209244633443,17.7153717932414
3,49,72.973,25,894.319616159037,28.2808694323008
4,78,54.071,27,609.324902491106,19.268545269319
5,120,28.733,29,1.5994590552025,0.0505793363862088
6,373,31.173,31,1.66428388228717,0.0526292774113501
7,500,33.239,33,1.54086120505815,0.0487263096617552
8,962,47.79,35,405.218024707129,12.8141190702891
9,1410,36.302,36,1.55666927098187,0.0492262045989656
10,1691,38.309,38,1.47570210296547,0.0466657979327119
11,2477,40.414,40,1.85041293446302,0.0585151948473901
12,2623,42.727,42,3.55599720417721,0.112450505183908
13,3129,44.163,44,1.72725632562582,0.0546206409191106
14,6115,46.318,46,1.77933752898151,0.0562675931779745
15,3622,48.168,48,5.3436252048895,0.168980266097347
16,5753,50.045,50,1.71869977859105,0.0543500591437482
17,3807,51.652,51,1.73779052705322,0.0549537616175264
18,3794,54.307,54,2.13431635572291,0.0674930093143453
19,3642,68.949,56,398.442521377729,12.5998588421395
20,3483,70.761,58,403.92225869599,12.7731433511908
21,3517,85.704,60,567.242553497618,17.9377845482239
22,3346,63.138,63,2.16509668228549,0.0684663687049609
23,3176,77.311,64,399.284362680636,12.6264802015954
24,3108,87.018,66,581.820314663002,18.3987738329095
25,3036,68.44,68,2.00260091141755,0.0633278012440856
26,2618,82.744,70,401.961293342214,12.7111321818847
27,2546,71.729,72,1.86575454978409,0.0590003393213975
28,2405,73.696,73,3.68499160964624,0.116529666450922
29,2173,75.384,75,1.94224517410041,0.0614191852462756
30,1857,76.859,77,1.83097555184974,0.0579005308392891
31,1668,78.853,79,1.79739300700254,0.0568385575258699
32,1410,80.692,80,1.85487912721465,0.0586564282630351
33,1226,82.48,82,2.13123019454543,0.0673954163288732
34,1082,84.195,84,1.83748506153148,0.0581063796097412
35,906,86.133,86,1.88543519269846,0.0596226958956559
36,749,88.021,88,1.91107593025793,0.0604335272114015
37,750,89.859,90,1.95113452276513,0.0617002911332347
38,589,117.127,91,570.02863745475,18.0258882587938
39,429,93.62,93,1.99689448584235,0.0631473482229269
40,389,95.452,95,3.69693972947401,0.116907499175046
41,353,97.335,97,1.93404123935233,0.0611597540504825
42,260,124.427,99,571.643344038732,18.0769497643763
43,186,100.643,100,1.70130698154256,0.0538000506082052
44,162,102.43,102,1.85432967363911,0.0586390530153629
45,135,105.839,104,45.8118085301246,1.44869658686724
46,109,106.147,106,1.70243628053719,0.0538357621780289
47,93,107.862,108,1.91588794730449,0.0605856965514685
48,71,109.671,109,1.70460102800176,0.0539042175035003
49,47,111.433,111,1.83162929269704,0.0579212039400587
50,52,126.145,113,405.745572304177,12.8308015900973
51,33,115.23,115,1.82055332644073,0.0575709511334876
52,25,130.045,117,402.679554731549,12.7338456013413
53,28,131.382,129,12.7311491295232,0.402594284805632
54,22,144.784,129,402.273941074571,12.7210189712801
55,9,142.741,143,10.240448514874,0.323831415686906
56,15,130.183,125,9.92027836922548,0.313706746696533
57,8,126.897,127,2.12812591730845,0.0672972504632984
58,3,128.301,128,1.8087760145111,0.0571985198293686
59,8,130.444,130,2.04133070104553,0.0645525447293213
60,17,132.314,132,1.95939869430477,0.0619616271836307
61,5,137.338,134,99.401571559148,3.14335369127122
62,3,150.165,136,444.946854667474,14.0704549847714
63,4,151.667,137,442.371733796207,13.989022512737
64,2,139.155,139,2.50983550741364,0.0793679675579152
65,2,141.145,141,2.41491341600622,0.0763662674667736
66,2,166.375,143,741.52703438089,23.449143752336
